logNs,n_rep,gamma,beta_5,beta_10,beta_20,colless,sackin,normalized_sackin,b1_index,b2_index
-3.0,0,0.27842604098406265,-0.24396696217430358,-0.9079531025067206,0.6559215944271015,342.0,824,-0.22898561019282304,52.30955988455991,1.5631364691838892
-3.0,1,-1.403789736689409,1.710047530653108,1.138529196179329,0.666105723048808,389.0,861,0.3997454468380095,53.238106338106356,1.4340632441143426
-3.0,2,0.7851648008538056,0.40629988254128363,-1.072135969498408,-1.233494344571048,,856,0.3147817904824932,54.28529248529251,1.4773835428113562
-3.0,3,1.2700833651668142,-0.8920501173804222,-0.0833951723737056,-0.053523309130950984,406.0,896,0.9944910413266385,52.36670274170277,1.330382075563814
-3.0,4,1.1068931151555774,-0.847815578552574,-1.99566662913517,-1.8782298459686144,520.0,982,2.4558659306415485,50.518953677041935,1.3825878314189022
-3.0,5,1.7977880029353215,-0.2746974157874204,-0.8519839914906489,-2.860715527667957,,809,-0.48387657925937794,51.96075036075038,1.5937381574729905
-3.0,6,0.08501520971682189,0.467141897428554,-0.3432279024513118,-0.9885914153707175,384.0,858,0.3487672530246997,52.430963480963506,1.5038822128352365
-3.0,7,-1.5019286392788087,2.1915714044079215,1.3806543824447806,1.9198655510522005,316.0,828,-0.16101468510841002,53.2250360750361,1.4820729718163663
-3.0,8,-0.47244366984008956,-0.06304370292658838,0.18869470839641658,-0.6137435025892576,387.0,869,0.5356872970068386,52.8491813741814,1.4122172562698303
-3.0,9,-0.6805664332296557,0.5906977533208199,0.5297598510060879,0.2628483111370706,369.0,877,0.6716291471756676,55.267893217893246,1.3379519216461846
-3.0,10,0.27158415770662253,0.2126259046758624,-0.2502814808861845,0.37943551700487155,419.0,869,0.5356872970068386,52.549578199578214,1.6266166104814401
-3.0,11,0.03599488964690078,1.350860515258853,1.2805700360379286,0.2563353150166092,315.0,805,-0.5518475043437909,51.16670274170277,1.686752790645516
-3.0,12,-0.35603291520545594,-0.8403652556857112,-0.4765014590916887,-0.4423037165491962,334.0,844,0.1108690152292481,53.87503607503611,1.315683345306783
-3.0,13,1.0027354069050645,0.19866864856655672,-0.14226522574901582,-0.7788667544365002,424.0,892,0.9265201162422225,54.044480519480544,1.478912744811106
-3.0,14,0.4109494042733969,0.07511985665555448,0.0574651944918003,-0.6122884854254562,277.0,803,-0.5858329668860005,52.31114718614722,1.607894102816547
-3.0,15,0.1952368247878768,-0.5356361116266207,0.7449507002490705,0.6213566904831763,,902,1.096447428953258,51.670609945609975,1.540773023411642
-3.0,16,-0.7976587160957985,-0.29968012412160044,-0.14978750344294384,1.2436583469415736,,752,-1.4524622617122847,54.421067821067844,
-3.0,17,0.08593026568503491,-0.05378931170308822,-0.6171821724790661,-0.13831615970370392,327.0,815,-0.38192019163275537,57.43892496392499,1.6685263651267972
-3.0,18,-0.18145900735794035,1.5283810374597162,1.2388487477958812,1.8702210262261456,379.0,881,0.7396000722600836,50.12183649683652,1.4703874812620286
