logV,n_rep,gamma,beta_5,beta_10,beta_20,colless,sackin,normalized_sackin,b1_index,b2_index
-1.0,0,-0.2874961099381204,-0.2886019358352029,-0.4158758379811433,-0.09440430930166716,239.0,749,-1.5034404555255945,55.77579365079367,1.737095941775844
-1.0,1,0.1496380894515778,1.057397521549869,1.4299421239317445,-0.12454098844380208,,838,0.008912627602628566,51.0218614718615,1.455594590940667
-1.0,2,-0.14685617745693852,-0.8982941874611751,-0.5664448157782751,-0.9829073027383957,,811,-0.4498911167171714,51.718722943722966,1.6376138672902263
-1.0,3,0.878246756326929,0.9885449729739407,-0.414664195110424,-0.615685500002717,297.0,793,-0.7557602795970361,53.580591630591655,1.6507409015157897
-1.0,4,-0.5895571568314646,0.21642010076443963,-0.531727691013429,-0.1690309146014337,335.0,825,-0.21199287892171978,56.77308802308805,1.5741605168766621
-1.0,5,-0.7009146498675598,-0.029790217871045882,-0.33498939777857767,-0.07570214536383245,323.0,813,-0.4159056541749619,53.7250360750361,1.5423377658701918
-1.0,6,1.1297602985755189,-0.33883566939720694,-0.006363514575024013,-1.3032820259470543,,691,-2.4890188692496045,53.32579365079368,
-1.0,7,-1.378640937250654,0.3080018633758394,-0.0747886527565513,1.3392244732919443,324.0,816,-0.36492746036165213,54.09567099567102,1.616566353668195
-1.0,8,0.7851670234593862,0.4783536124160735,0.7466620973819175,0.24738462078309448,269.0,783,-0.9256875923080716,51.19170274170277,1.630824122017514
-1.0,9,-0.2930658434611335,0.8408355734866744,0.4369874511964489,0.5281766808245653,303.0,795,-0.721774817054828,53.392893217893246,1.5992218519648986
-1.0,10,-0.6206068088339183,-1.2598231903233774,0.720161001250974,1.3847138894627342,,852,0.24681086539807717,51.47537185037188,1.5161571910703482
-1.0,11,0.017558263776669324,0.5096159635618741,-0.20072441374690242,0.08069747703319477,284.0,788,-0.8407239359525538,51.86670274170277,1.6910889160713378
-1.0,12,1.5634377306734695,-0.3601964779080425,-0.4060964404536689,-0.41331771594359046,369.0,857,0.33177452175359645,49.55709290709293,1.5522594087936872
-1.0,13,0.2508708381219505,-1.725697759369127,-1.364249252272049,-0.5917095843969553,190.0,732,-1.7923168871343558,54.56587301587303,1.8082377962198708
-1.0,14,1.3178484317348418,-0.746023922398256,-1.3664060663266564,-0.5018652104128137,332.0,816,-0.36492746036165213,54.05122655122658,1.4932440068117105
-1.0,15,1.3797763793955813,0.006448163050611587,-0.8925050874980631,-1.527579694082478,312.0,814,-0.3989129229038586,53.375468975469,1.5945182582826487
-1.0,16,-2.4891291586444373,1.008318510421523,1.874842065429423,2.0740886007218586,,850,0.21282540285587065,55.3750360750361,1.4367048068250252
-1.0,17,-0.1815372735973228,0.37545095571951137,0.5695664558208862,0.053806198361801394,,863,0.433730909380219,52.54448051948055,1.3599039412320415
-1.0,18,-0.9087943884845322,-0.6814668112498002,0.020319133441193637,-0.6448075945253733,241.0,761,-1.2995276802723508,54.08531746031748,1.7176936178365634
-1.0,19,-0.4053195540215354,1.800050354903885,0.9053549705052372,0.7184642642981283,389.0,855,0.29778905921138993,52.88846708846711,1.516798722048601
-1.0,20,-1.4428216653833554,0.23414369013977523,0.5330702131564968,1.3721738603383329,272.0,776,-1.0446367112057975,52.82698412698415,1.6371445760280372
-1.0,21,-0.3483326922893402,0.19761801162252665,-0.22472211386468505,0.8531786155209496,341.0,825,-0.21199287892171978,53.83334443334446,1.5922032082671675
-1.0,22,0.0672703216365887,-1.0456917951977407,-0.6959695865631216,-0.5376926447043364,352.0,844,0.1108690152292481,52.55672105672108,1.540261570221387
-1.0,23,-0.04500482839207562,0.9005265558838003,0.5919392830492456,-0.5729605788598158,325.0,807,-0.5178620418015845,53.46392496392499,1.6178892393913271
-1.0,24,0.21322652594242125,-1.7398339249890102,-1.1948828777323488,0.23735544805010525,315.0,807,-0.5178620418015845,53.90122655122658,1.5970170424263443
-1.0,25,2.354175059278554,0.8324516074601229,-0.6804865440260973,-1.2914358529125938,420.0,890,0.892534653700016,55.34719724719728,1.4475677025379883
-1.0,26,-1.3415223421374314,0.5409986730539699,0.8973919601927067,1.3368387351556903,320.0,820,-0.2969565352772391,52.54763014763018,1.6549116662262229
-1.0,27,-0.9738335927196226,1.1030912494370968,0.4031014289756275,1.4755479285339814,279.0,781,-0.9596730548502796,50.78852813852816,1.687267246204511
-1.0,28,1.5565161144910198,-0.40908992563995894,-0.14117158987263964,0.009143539501724475,411.0,879,0.7056146097178742,53.672258297258324,1.3292796707945358
-1.0,29,1.5744562309311902,0.28334038724436134,0.35240902620819375,0.04517880737354567,349.0,835,-0.04206556621068422,51.851201576201596,1.5796725407230485
-1.0,30,1.1357912123069112,-0.6209257651578344,-0.6822633929034462,-0.7359054906719735,332.0,830,-0.1270292225662005,54.69719724719728,1.5110110970098956
-1.0,31,-1.0603726425669528,2.2295637273612754,2.1011824973562314,1.298612803900725,271.0,789,-0.8237312046814506,52.410750360750384,1.6625733793726998
-1.0,32,-1.3480809827845877,0.6913947958088668,1.5258402090459224,1.0228288466204094,360.0,826,-0.19500014765061655,51.273448773448806,1.5285944530798679
-1.0,33,-0.4245335861961303,0.4345092607165036,1.319506358479039,0.4989529975101154,282.0,788,-0.8407239359525538,53.54170274170276,1.6390554109614515
-1.0,34,-1.3780626772063853,0.9279734033948152,-0.3703409132976218,1.756075537675831,315.0,801,-0.619818429428207,52.51594516594519,1.6616914555572784
-1.0,35,-1.3089842981847724,0.31004157334729554,1.0714825873790192,0.8988280402865613,365.0,837,-0.008080103668477709,52.730530580530605,1.6236125574851592
-1.0,36,0.7703570146228922,-0.287169397142496,-0.4224847769853876,0.2530756660663446,344.0,826,-0.19500014765061655,57.93251470751474,1.6295747299456667
-1.0,37,-1.0209209076170211,0.4110131310028478,0.2924158870196468,1.0812144071756553,442.0,920,1.4023165918331226,50.65040792540795,1.2424285483883097
-1.0,38,-1.070499681579541,0.19185665411310102,0.9062160120326274,0.49274985657413717,,798,-0.6707966232415168,51.75314962814966,1.6350133189628253
